ïΩê¨ÇQÇUîN,é–âÔà„ó√êfó√çsà◊ï í≤ç∏,ïΩê¨ÇQÇUîNÇUåéêRç∏ï™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ëÊÅ@ÇPï\,à„â»êfó√ÅiëçêîÅjÅ@åèêîÅEêfó√é¿ì˙êîÅEâÒêîÅEì_êîÅCèùïaï™óﬁÅAàÍî à„ó√Å|å„ä˙à„ó√ÅEîNóÓäKãâÅAêfó√çsà◊ÅiëÂï™óﬁÅjï ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇPÅjÅuåèêîÅvÇÕÅAñæç◊èëÇÃêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇQÅjÅuâÒêîÅvÇÕÅAìñäYêfó√çsà◊Ç™é¿é{Ç≥ÇÍÇΩâÑÇ◊éZíËâÒêîÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇRÅjëçêîÇ…ÇÕÅAÅuó√ó{íSìñéËìñìôÅvÅAÅuçáéZñÚç‹óøÅvÅAÅuï‚ê≥ì_êîÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇSÅjëçêîÇ…ÇÕÅAì¸â@éûêHéñó√ó{ìôÇä‹Ç‹Ç»Ç¢ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
íçÅFÇTÅjëçêîÇ…ÇÕÅAÅuá]á]Å@èùïaãyÇ—éÄñSÇÃäOàˆÅvÅAÅuá]á]áTÅ@åíçNèÛë‘Ç…âeãøÇãyÇ⁄Ç∑óvàˆãyÇ—ï€åíÉTÅ[ÉrÉXÇÃóòópÅvÅAÅuá]á]áUÅ@ì¡éÍñ⁄ìIópÉRÅ[ÉhÅvÅAÅuïsè⁄ÅvÇä‹ÇﬁÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,åèêî,êfó√é¿ì˙êî,ëçêî,,èâ   ÅE  çƒ êf,,à„ äw ä« óù ìô,,ç›Å@ëÓÅ@à„Å@ó√,,åüÅ@Å@Å@Å@Å@ç∏,,âÊÅ@ëúÅ@êfÅ@íf,,ìäÅ@Å@Å@Å@Å@ñÚ,,íçÅ@Å@Å@Å@Å@éÀ,,ÉäÉnÉrÉäÉeÅ[ÉVÉáÉì,,ê∏ê_â»êÍñÂó√ñ@,,èàÅ@Å@Å@Å@Å@íu,,éËÅ@Å@Å@Å@Å@èp,,ñÉÅ@Å@Å@Å@Å@êå,,ï˙ éÀ ê¸ é° ó√,,ïa  óù  êf  íf,,ì¸  â@  óø  ìô,,êfífåQï™óﬁÇ…ÇÊÇÈïÔäáï]âøìô,,ì¸â@éûêHéñó√ó{ìô(ï åfÅFâ~),
,00Å`04çŒ,50516,216759,516026,1045664209,40910,8419668,22734,6328279,1366,5255618,117253,10978885,6742,1654416,110654,1935155,5367,6456010,12471,3033685,9,3490,27916,8471592,2299,20302928,374,4513229,169,19030,99,56670,37366,188029081,128037,780178783,290164,184032440
,05Å`09çŒ,1762,3358,18405,6991725,2524,253747,568,136997,300,2578879,2430,359248,265,51013,7801,129914,65,55783,2685,629945,15,5450,926,274065,7,86659,14,83297,-,-,-,-,793,2277267,12,65911,1893,1254478
,10Å`14çŒ,371,896,5461,2917494,543,47668,113,23695,79,1451343,445,61133,88,22907,2795,55286,25,50857,630,146945,9,2790,382,188705,1,3653,6,74920,-,-,-,-,345,786028,-,-,576,374890
,15Å`19çŒ,209,713,4578,1114970,224,22771,65,11176,12,47924,762,117940,32,8459,2309,30871,128,23728,287,63025,1,330,390,83220,22,88950,4,1587,-,-,4,618,319,559744,19,54627,736,451910
,20Å`24çŒ,917,2704,12201,3913554,764,92598,319,46831,12,46486,3005,623119,104,12627,5701,73264,437,149992,156,32840,1,80,603,49271,107,852506,45,61206,-,-,22,9920,760,1395898,163,466902,2282,1379622
,25Å`29çŒ,2567,7053,32567,11661348,1790,208768,879,176728,19,57455,8653,1787408,199,28359,15499,201343,1165,314111,135,28850,6,2010,1214,120443,364,3636346,186,331505,-,-,46,21788,1996,3311608,415,1434492,5850,3484444
,30Å`34çŒ,3279,9038,41257,15915518,2256,272089,1138,226272,13,17631,11308,2298778,269,48445,19235,245128,1500,413276,53,11640,2,660,1372,122102,496,4875740,242,385075,-,-,90,40628,2643,4852434,621,2105430,8166,4893014
,35Å`39çŒ,1830,5115,25451,10238772,1296,150626,702,165616,15,27744,6778,1249112,201,33364,12139,150297,737,273776,106,23000,20,4480,859,91272,292,3238466,185,301531,-,-,70,32380,1615,3171452,436,1325633,5122,3174616
,40Å`44çŒ,392,1357,6358,3976842,299,35791,155,47347,11,8535,1481,257174,41,9878,2859,97615,164,36052,44,8440,2,660,407,59710,69,1116770,73,110848,1,220,26,12720,479,1376478,247,798604,1674,1061772
,45Å`49çŒ,38,514,2741,1163336,17,2174,12,3090,3,3760,160,13981,3,660,1619,17896,3,3336,100,21905,1,330,328,21907,1,50730,1,2027,-,-,1,720,474,972909,18,47911,1434,933286
,50Å`54çŒ,19,326,2240,684579,16,1803,14,3785,-,-,98,12473,4,785,1338,15318,-,-,69,16615,1,330,387,21764,-,-,1,17913,-,-,2,1580,310,592213,-,-,927,606534
,55Å`59çŒ,13,75,569,141732,13,1418,19,4245,-,-,66,8782,2,2170,334,5015,1,122,14,3190,3,990,55,2526,-,-,-,-,-,-,-,-,62,113274,-,-,186,120590
,60Å`64çŒ,16,85,742,135835,22,2768,14,1545,-,-,61,6548,8,3451,496,5839,-,-,3,735,11,3870,64,8669,1,862,-,10,-,-,-,-,62,101538,-,-,186,120590
,65Å`69çŒ,11,46,651,108705,12,1400,11,1575,4,19159,32,2563,2,210,421,7299,31,6370,3,735,1,330,103,8614,-,-,-,-,-,-,-,-,31,60450,-,-,31,19840
,70Å`74çŒ,9,15,374,18250,15,1512,10,1200,-,-,47,5394,6,4884,295,5189,1,65,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,75Å`79çŒ,8,10,367,18265,11,1128,11,1216,-,-,10,2237,6,707,327,12317,-,-,-,-,2,660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,80Å`84çŒ,14,14,447,15230,14,1803,16,2055,-,-,37,3959,8,840,372,6573,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,85çŒà»è„,11,46,1032,103439,16,1604,16,1880,-,-,69,6285,13,2619,730,11809,21,10765,53,9335,-,-,83,9221,-,-,-,-,-,-,-,-,31,49921,-,-,53,34920
á]áZÅ@êÊìVäÔå`ÅCïœå`ãyÇ—êıêFëÃàŸèÌ,ëçêî,188146,373155,2596375,974873535,251788,33041387,79444,17474150,9539,47122874,400018,67643159,100924,32487073,1397768,29388404,19932,16580011,114599,26003269,3166,1208288,83502,43385652,7846,224768233,8256,52362742,506,2999940,4513,1836704,71229,165657734,43067,211489399,267260,173035616
,àÍî à„ó√,164552,322357,2045789,903001378,214058,29026013,63304,14489195,7984,44436301,326736,59096898,91972,28385686,1029622,22804948,14168,13710781,103794,23683350,2694,976623,70313,35745359,7481,218363147,7456,51415942,459,2851400,3593,1526806,60311,148403537,41567,206663022,229936,150601496
,å„ä˙à„ó√,23594,50798,550586,71872157,37730,4015374,16140,2984955,1555,2686573,73282,8546261,8952,4101387,368146,6583456,5764,2869230,10805,2319919,472,231665,13189,7640293,365,6405086,800,946800,47,148540,920,309898,10918,17254197,1500,4826377,37324,22434120
,00Å`04çŒ,56921,114272,496205,494107454,66956,10687067,21357,6364252,2567,11479651,81968,21758810,32531,5933308,188230,3266496,5975,7172738,30165,7117415,108,54670,15017,14137325,4499,153398212,4414,36616617,368,49500,376,232380,15498,64737362,25949,150897689,75300,48918038
,05Å`09çŒ,17855,30310,162382,65614346,23778,2952923,5004,1114258,1173,8610043,27819,5536192,8946,1814539,63684,1534757,599,777037,18384,4218858,143,56430,5158,1531761,452,11191162,682,3470646,7,174850,80,43680,3921,10467539,2546,12043969,13360,8690070
,10Å`14çŒ,13476,22696,122949,46473119,18071,2442957,3817,724965,906,11795424,18940,3694743,10287,1967694,49785,1333583,463,670021,10085,2240652,123,48740,5221,1314185,238,4761739,282,1628777,6,265550,58,32520,3308,7225314,1337,6253351,10021,6513040
,15Å`19çŒ,7294,13040,87963,25515742,9143,1264153,1711,307457,535,4319921,13380,2431264,4954,1297280,42324,1069525,319,345772,6971,1601450,116,48275,4398,902971,116,2781814,127,733209,2,100000,48,23880,2901,5357219,909,2776124,8950,5865220
,20Å`24çŒ,5011,10278,75375,22036967,6232,829632,1441,265645,426,1301559,11012,1719272,2928,1038891,40838,1261172,313,122778,3830,845178,125,44315,3702,877532,217,3721489,208,1148793,6,300000,117,54031,2952,5433251,1021,3020225,10255,6746714
,25Å`29çŒ,5283,11447,81138,25426406,6722,895084,1744,314671,381,988407,12851,2096858,2858,1244959,43182,1085686,345,241708,4070,909606,166,85995,3691,836817,224,5236568,200,1127093,6,164100,159,73766,3368,6058763,1171,3863464,11791,7773004
,30Å`34çŒ,5318,11575,81576,23963914,6926,927635,1874,320152,222,680330,13657,2139473,3140,1330185,42821,1086329,549,236277,3605,832295,176,67130,3574,910962,213,4978876,177,852492,9,226880,165,69496,3695,6683386,772,2516810,12112,7996982
,35Å`39çŒ,5810,12143,81224,24563688,7580,1015229,2019,371985,256,843695,14607,2254434,3382,1506811,40800,1246147,572,363380,3556,784569,187,62929,3171,907125,231,4256724,161,818303,9,326550,204,82172,3471,6121117,1016,3235668,12050,7939262
,40Å`44çŒ,5836,13381,96686,25864462,7998,1038943,2237,417850,264,949314,14403,2107100,3506,1607748,53345,1365174,528,406254,4510,1016197,281,115455,3733,1310828,226,3530874,160,939673,12,151100,257,96980,4081,7130252,1144,3620120,14425,9577248
,45Å`49çŒ,5312,11885,86711,24288581,7286,930687,2103,410892,215,595274,12745,1711668,3059,1467784,48788,1071591,489,424396,3107,681213,220,71169,3609,1679114,174,4685748,156,888536,3,163000,215,84786,3420,5950643,1121,3446693,12049,7955660
,50Å`54çŒ,5210,11342,88821,22759384,7496,899859,2292,452310,178,659958,13334,1727860,2759,1453516,50880,1219076,566,380345,3029,668287,166,79405,3626,1801899,224,4507041,226,923327,7,770,270,104358,2772,4646873,996,3225362,10246,6757640
,55Å`59çŒ,5417,12265,103864,23272360,7803,901491,2785,605373,156,568089,14627,1925854,2715,1490283,62682,1313945,551,429149,3031,663008,277,67250,4169,2316106,153,3299917,172,597390,4,200000,317,129949,3555,5925728,866,2809681,12107,8050634
,60Å`64çŒ,7410,15519,136175,26397853,10956,1239544,3943,804406,361,752466,21220,2771124,3477,1951786,81298,1592039,769,619873,4264,937824,242,58900,4426,2928213,148,2880632,146,434765,6,150550,358,144480,3710,6298560,851,2796682,12134,8044106
,65Å`69çŒ,8838,17227,176746,32888137,13373,1458323,5229,1069435,201,540227,27093,3585299,3806,2287016,113355,2224526,1068,856281,2732,609401,213,55615,4845,4016783,211,6193310,166,815169,8,365330,477,171298,2870,4912846,1099,3722627,11008,6928256
,70Å`74çŒ,10444,18951,204048,28353071,15779,1725688,6417,1197559,216,618587,32406,4008038,4125,2212545,131691,2591925,1343,868547,3222,716731,211,73665,4359,2993076,184,3483407,211,473352,6,213220,523,194770,2470,4157112,885,2803395,9361,6033984
,75Å`79çŒ,9540,18197,203490,26579906,15075,1606352,6163,1106459,326,740834,30248,3638655,3651,1828209,134339,2502500,1796,1021262,3272,744552,185,94540,4262,2346149,165,3674356,253,447594,10,7670,437,148478,2510,4065295,797,2606883,9638,5900558
,80Å`84çŒ,7513,14535,166008,18499822,12043,1281658,5322,940821,382,620588,22725,2633042,2640,1236029,111697,1990179,1748,863719,2866,596484,140,99055,3271,1601995,104,1432119,316,358284,19,106270,296,95030,2067,3444291,372,1198737,7513,4471730
,85çŒà»è„,5658,14092,145014,18268323,8571,944162,3986,685660,774,1058507,16983,1903473,2160,818490,98029,1633754,1939,780474,3900,819549,87,24750,3270,972811,67,754245,199,88722,18,34600,156,54650,4660,7042183,215,651919,14940,8873470
á]á[Å@è«èÛÅCí•åÛìôÇ≈ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ,ëçêî,1669343,3251074,30554646,3916351611,2520027,394035694,1009984,181632219,73498,143822456,4553029,534443360,884673,420274221,18684364,343180956,552388,286175161,584295,118035987,58377,19658400,839482,168421413,23562,127758004,42718,30718062,4559,9422864,72638,22173852,635525,1058545977,15197,57242637,1717707,1043477544
,àÍî à„ó√,1228263,1963746,17786710,2139424076,1740753,300150163,664278,120322211,20811,58825492,3040270,374836154,592600,294629214,10549232,208449487,240817,175512655,208326,44158941,49466,16557771,409974,77442700,15773,83216193,18674,21139572,3181,6562450,55739,16923937,165809,297453745,10718,42612959,442442,284039766
,å„ä˙à„ó√,441080,1287328,12767936,1776927535,779274,93885531,345706,61310008,52687,84996964,1512759,159607206,292073,125645007,8135132,134731469,311571,110662506,375969,73877046,8911,3100629,429508,90978713,7789,44541811,24044,9578490,1378,2860414,16899,5249915,469716,761092232,4479,14629678,1275265,759437778
,00Å`04çŒ,89997,145566,499644,132836105,94337,27767204,87302,32229528,458,2223056,104898,14198767,9404,2497338,155171,4857285,5749,1751637,12455,2914557,218,127065,18351,1372346,324,1512870,109,290995,12,35710,35,17325,5618,17909660,5035,23125937,19445,12315052
,05Å`09çŒ,64426,89356,420979,60756340,88315,20337548,22592,3159484,421,4057721,87941,10424715,11141,3506438,160977,4891339,4552,1110154,18795,4339740,942,448450,22943,1420877,483,880690,62,298600,37,42834,98,35310,1307,4155797,355,1642206,2959,1932836
,10Å`14çŒ,52960,70525,396414,54782852,69024,14819509,17015,2270466,348,4376328,100975,11076906,17803,6686899,163862,4120508,3473,1461211,4305,953127,1697,778710,14664,1098856,953,1324686,64,318609,3,330,182,56070,1993,5202806,51,214137,4733,3029836
,15Å`19çŒ,40246,53559,347106,50387728,51647,11614253,12096,1449768,238,2030777,102996,12243850,21118,8471730,138906,3223328,4070,1872529,2861,601553,2145,900870,7497,894674,653,2078767,114,572875,9,5970,713,198174,2016,4086969,26,85845,4329,2773174
,20Å`24çŒ,39338,53428,383548,52491993,49621,11286041,13709,1436004,268,1696885,102265,12429136,19745,9001015,175164,3813982,5652,2522420,2563,565657,2392,765530,7319,738292,505,1977502,278,740163,4,54170,1319,322509,2641,4791106,100,351039,6105,3933132
,25Å`29çŒ,51635,73942,554179,72052018,64726,13720703,18741,1878324,391,1417919,128211,16240328,23856,11128295,283856,6061818,8321,4067188,2987,649330,3592,1194445,11224,1054231,753,4540879,512,1122477,39,59190,1992,528825,4889,8040700,84,319552,11648,7145992
,30Å`34çŒ,64030,94367,719243,91347125,82129,16332170,23713,2501596,579,2434478,154311,20215634,29404,13902872,385520,8143233,10884,5357978,3034,651233,4164,1341733,14492,1515002,990,6563062,759,1057207,50,108330,2882,809907,6232,10059412,97,301737,15108,9241758
,35Å`39çŒ,75205,111906,894329,112770146,100952,18725342,27818,3328035,819,2428606,184431,24318454,37325,18266619,489497,10489791,12515,8028850,4480,966562,5551,1820847,17514,2186562,1002,6429131,971,1466915,121,323864,3870,1113380,7226,12032116,237,780885,18529,11759004
,40Å`44çŒ,82848,121994,1074434,127900532,115059,20198778,33094,4430876,1119,2819737,210049,27286497,45487,23293623,610263,12488388,13252,10226662,5950,1231250,5658,1846253,20488,3460989,923,5042454,1151,1299549,139,248670,4888,1457256,6687,11697982,223,820866,17322,11357072
,45Å`49çŒ,79998,121837,1153834,132931161,114185,18914220,36008,5243376,1158,2753106,203540,26251090,44431,23382747,688138,14056472,14784,10721596,8919,1888011,5276,1724658,21535,4652385,900,4520885,1284,1469280,223,461400,5035,1501251,8028,13955106,387,1387779,20683,13702078
,50Å`54çŒ,81438,128476,1293568,149532947,117858,18616358,41764,6526490,1526,3375802,211001,26592471,45817,24225297,797470,15108006,16639,13658247,12751,2834239,4217,1390169,25059,7050925,1047,5680034,1527,1961273,263,427780,5318,1596375,10821,18789876,487,1636674,28972,19246948
,55Å`59çŒ,88044,143788,1510004,178954714,128728,19301448,50055,8270858,2025,4733419,237002,29235017,49154,26236422,948208,19079266,18473,18584308,15498,3291097,3968,1223639,32018,9358973,1277,6961045,1589,2371111,456,959000,5736,1805131,15238,25595411,573,1926460,40222,26901094
,60Å`64çŒ,118996,203259,2210719,260645710,178951,25467949,73477,12544722,2990,6867924,336018,40701984,67609,35681236,1406880,27158249,28826,28576611,26022,5510130,3522,1073818,49473,16410090,1688,9497282,2099,2397129,437,829514,7209,2218696,24464,42183167,1049,3396626,63257,42189510
,65Å`69çŒ,140788,254223,2891994,328590310,218947,29379197,93998,16265453,4261,9158438,417255,49276283,80836,42075372,1876863,34659528,39575,32878004,39703,8211714,3608,1156229,66241,19824675,2096,14478962,2975,3153680,677,1293882,8294,2611743,35687,60947957,975,3173153,99672,62314936
,70Å`74çŒ,167077,336615,3784325,408988265,286000,35677737,119527,20684325,5847,12445528,497813,58225170,96561,48984035,2480513,44432697,60180,38087695,62967,12583119,3293,1044994,102061,23652937,2395,13435823,5587,3661133,737,1743826,8465,2752385,51099,87475026,1214,4048099,141833,87669604
,75Å`79çŒ,164059,374753,4182300,460262085,295763,35499368,124577,21566741,8304,16197536,505019,56945639,96368,46264244,2763863,47596431,80630,35124092,85308,16754099,3129,1005940,121666,24489912,2546,16137490,7840,3278857,819,1792054,7231,2344513,77832,130710803,1365,4514488,217124,133016376
,80Å`84çŒ,139859,377124,4012278,489290370,256993,30678991,112604,19546588,12403,21140511,460917,49371955,89908,40043431,2619865,43218315,93352,31875445,108489,21198753,2657,837695,122624,22925156,2268,12332654,8849,2967320,345,757380,5387,1664216,114156,185964921,1461,4714437,318212,191656598
,85çŒà»è„,128399,496356,4225748,751831210,206792,25698878,101894,18299585,30343,43664685,508387,49409464,98706,36626608,2539348,39782320,131461,40270534,167208,32891816,2348,977355,164313,26314531,2759,14363788,6948,2290889,188,278960,3984,1140786,259591,414947162,1478,4802717,687554,403292544
á]á\Å@ëπèùÅCíÜì≈ãyÇ—ÇªÇÃëºÇÃäOàˆÇÃâeãø,ëçêî,2606184,8231733,45000205,13777290540,5154449,783898343,1201268,217182242,78993,148063886,3285070,309465289,3818227,842096295,17750224,380146343,741322,273651278,6977903,1392421090,24722,7980034,2584204,579323774,253294,2267358212,162152,353287638,2627,3628975,13483,6085231,2013101,3509388883,938580,2701933751,8717357,5497014324
,àÍî à„ó√,1953926,4778668,22358552,6206069846,3772952,627358153,798460,133077308,24901,59564421,1728277,171483845,2849399,597674319,7762413,204587568,259056,108074525,2238037,452352889,15079,4637454,1744822,353740462,175181,1127229457,75381,213176419,1656,2593035,8643,4008993,512845,942105456,391011,1203589469,2428423,1581884634
,å„ä˙à„ó√,652258,3453065,22641653,7571220694,1381497,156540190,402808,84104934,54092,88499465,1556793,137981444,968828,244421976,9987811,175558775,482266,165576753,4739866,940068201,9643,3342580,839382,225583312,78113,1140128755,86771,140111219,971,1035940,4840,2076238,1500256,2567283427,547569,1498344282,6288934,3915129690
,00Å`04çŒ,169728,271798,764650,232747153,215440,61584122,101686,35669351,433,1372190,78915,14370229,84514,19815503,174953,7482839,1856,1166763,4539,1018667,22,9045,79363,11010401,11858,25403727,930,4485121,37,34614,48,23680,3703,16248761,6317,33049335,16871,10998762
,05Å`09çŒ,175236,322058,1101443,270758950,310164,64183090,49146,4810146,692,2298298,71256,8849170,241317,44539392,229659,9425275,1521,465581,18396,3637356,94,39500,145700,26945530,17558,39639995,2596,12674325,9,1210,43,23030,4213,12918516,9071,40237724,26179,17063584
,10Å`14çŒ,251219,476701,1764955,381467600,459055,87618323,70664,5696880,629,3811565,86727,9196087,510133,87071973,340550,14193488,2968,945246,55735,10693534,235,93975,201063,42797503,17480,50021251,2965,12506345,9,1540,57,29020,6002,14619974,10659,42168341,35331,23017424
,15Å`19çŒ,160089,310148,1232628,344734506,277992,52830476,53244,6171354,308,2744461,77423,7437141,294300,60769751,272500,9568951,5040,1420252,94600,19107358,376,125395,112494,22956179,11299,67787085,3740,14635400,10,3300,72,35510,11896,24137032,17321,55001735,68597,44635576
,20Å`24çŒ,69321,139454,607153,199734521,115401,22218471,25405,3322469,559,847144,49248,4709940,107330,24045190,163366,5003115,4008,1986486,56936,11942428,478,140550,52212,8190425,6884,44046813,2407,9875794,24,4730,146,77080,10566,20748631,12177,42546664,55524,36058482
,25Å`29çŒ,67919,139764,613923,183117907,114437,21509241,24773,3093058,674,1737591,50908,4894810,97624,20835721,183648,5562553,4526,1506661,51363,10578721,683,228354,52622,8307380,6654,37414642,2425,7932183,17,11850,330,160950,11452,21543047,11781,37777981,57250,37178208
,30Å`34çŒ,76021,162256,718890,203968881,134721,24160876,27461,3460036,1053,1822358,59024,5692299,109215,22939148,224883,6496041,5829,2236889,55690,11271171,740,229850,64092,10354823,7678,42269720,2859,9004873,51,54250,401,194054,13071,24397170,12076,39264380,61701,40014802
,35Å`39çŒ,91473,202416,914421,254945423,167802,28891815,34007,4473516,1277,1996037,73337,6912547,132781,27313188,297501,8709666,7718,3027071,73570,14952787,1206,386710,80298,13057917,9002,54964482,3788,11311661,40,55890,551,264191,16635,31272702,14896,47298010,79194,51711726
,40Å`44çŒ,104494,247352,1115035,302257341,202808,32979209,39771,5416368,1473,2512709,87934,8271646,151903,31743717,366847,10532743,10662,4268069,97403,19647777,1267,398658,98781,17375004,10272,57923209,4474,12316458,121,186100,743,340648,21682,40168425,18887,58150639,102803,67411064
,45Å`49çŒ,96963,244083,1149383,311507055,196372,30370640,38572,5513416,1403,2911566,90490,8485787,140629,30241187,409063,11413325,12624,5893263,105693,21219274,1159,359150,95510,17609975,9134,60108425,4556,12493557,88,90830,688,293978,23565,42820340,19780,61622771,110894,73219412
,50Å`54çŒ,98049,263898,1296651,353527289,205115,30229652,41480,6275215,1902,3474487,102038,9647687,143552,31159935,488245,12298000,16032,7384846,129612,26214952,1291,397694,98369,21284882,9227,66997175,4988,13118770,106,125520,792,359636,29950,53791464,23910,70707650,140792,93264400
,55Å`59çŒ,106385,308841,1583312,449332486,229504,32038318,48018,7733132,2405,5171262,124280,11500628,155870,34486685,621541,15008141,20808,9299142,178888,36273908,1544,493525,110117,27970162,10607,85517632,5754,15098869,231,364500,835,383436,41279,73512839,31594,94328550,192580,128122148
,60Å`64çŒ,141895,452396,2417491,703957096,317120,41368412,67479,11464498,3539,7725824,199039,18469172,201583,45769594,986042,22752871,34662,16311034,301488,61031438,2270,666888,154460,43943623,14497,133943196,7981,21205565,253,559011,1165,534078,75889,133642751,49965,144515621,337967,225820224
,65Å`69çŒ,164031,573316,3228146,963837580,382015,46500045,82268,14665157,4379,9802115,264182,24245020,228822,54980542,1368823,30620807,51439,21953296,440776,89451296,2317,692300,191010,57052352,16979,183760194,10813,27739474,361,632880,1316,620760,111215,195722947,71390,205247372,523994,336100662
,70Å`74çŒ,197149,763810,4555195,1316851869,484966,54845259,106238,19097422,6449,16798017,361917,33294735,271474,67483475,2004918,42596370,87975,36287086,674688,135901344,2287,694170,245852,63845760,18448,228628519,16695,32953361,331,503790,1656,765230,175463,309409030,95759,273588513,798809,509614796
,75Å`79çŒ,205071,905805,5802288,1740044849,495274,54096258,118064,22246058,9341,19534823,431934,39244452,286883,72926051,2613541,51228022,126003,45830171,1001356,200494654,2409,731590,263884,66012676,19954,278331095,24201,38711181,345,489400,1620,730500,279180,488400417,128268,360894334,1225947,775298436
,80Å`84çŒ,199571,1013863,6821814,2169425500,443791,49143758,123003,24547360,13445,23248703,468560,41825584,293692,74416547,3058012,54995875,153166,52218115,1388983,275962701,2645,965225,255231,61238553,21879,321248120,29158,40729620,274,182370,1499,659818,408691,709997203,159782,437842842,1739557,1090755584
,85çŒà»è„,231570,1433774,9312827,3395074534,402472,49330378,149989,33526806,29032,40254736,607858,52418355,366605,91558696,3946132,62258261,194485,61451307,2248187,443021724,3699,1327455,283146,59370629,33884,489352932,31822,56495081,320,327190,1521,589632,768649,1296037634,244947,657691289,3143367,1936729034
